hist_bin,dataset,n,m,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time,avg_client_rounds_sent,std_client_rounds_sent,min_client_rounds_sent,max_client_rounds_set,total_client_rounds_sent,avg_client_rounds_received,std_client_rounds_received,min_client_rounds_received,max_client_rounds_received,total_client_rounds_received,avg_client_rounds_sent_payload,std_client_rounds_sent_payload,min_client_rounds_sent_payload,max_client_rounds_sent_payload,total_client_rounds_sent_payload,avg_client_rounds_received_payload,std_client_rounds_received_payload,min_client_rounds_received_payload,max_client_rounds_received_payload,total_client_rounds_received_payload
16,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.7688888888888888,1.0,0.7449335414041296,1.0,0.7333333333333333,0.7333333333333333,1.2058048248291016,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,110207.52475247525,15669.855106581825,0,117600,11130960,38.01980198019802,380.1980198019803,0,3840,3840
32,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.7688888888888888,1.0,0.7157328200981451,1.0,0.7666666666666667,0.7878787878787877,1.9444301128387451,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,211279.84158415842,32116.47684915995,0,228272,21339264,76.03960396039604,760.3960396039606,0,7680,7680
64,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.7688888888888888,1.0,0.7017790379555084,1.0,0.8,0.8125,3.4841299057006836,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,420022.9702970297,60729.392139822914,0,450496,42422320,152.07920792079207,1520.7920792079212,0,15360,15360
128,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.7777777777777778,1.0,0.7134721596486302,1.0,0.8333333333333334,0.8484848484848485,6.211927175521851,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,786798.7326732674,129329.12750867942,0,894400,79466672,304.15841584158414,3041.5841584158425,0,30720,30720
256,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.8,1.0,0.7445181506946214,1.0,0.8333333333333334,0.8484848484848485,12.202386140823364,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,1567791.6831683167,257728.15704858868,0,1782192,158346960,608.3168316831683,6083.168316831685,0,61440,61440
512,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': '', 'split_method': 'hist_based', 'weight_update_method': 'xgboost', 'sketch_type': 'exact_quantiles', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,1.0,0.8,1.0,0.7455204816969523,1.0,0.8333333333333334,0.8484848484848485,25.879791021347046,4.9504950495049505,0.495049504950495,0,5,500,0.009900990099009901,0.09900990099009897,0,1,1,3129779.326732673,514526.2126847042,0,3557776,316107712,1216.6336633663366,12166.33663366337,0,122880,122880
2,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.4816326530612245,0.48,0.4801861864177134,0.5477682918507646,0.5,0.5333333333333333,0.5882352941176471,0.12418317794799805,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,279.9207920792079,121.03053236976712,0,976,28272,19.00990099009901,105.09312184156508,0,960,1920
4,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6620408163265306,0.5511111111111111,0.6638843538453534,0.6101136809908739,0.6,0.4666666666666667,0.6,0.1263570785522461,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,302.4950495049505,218.27685316807626,0,1456,30552,28.514851485148515,194.85148514851483,0,1920,2880
8,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6228571428571428,0.5022222222222222,0.6661161309763062,0.597884201618217,0.5857142857142857,0.4666666666666667,0.5294117647058824,0.13303017616271973,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,373.7029702970297,529.3129031084711,0,2824,37744,109.3069306930693,513.8830190604649,0,3840,11040
16,synthetic_100_30_26_2_2_None_1,70,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.5657142857142856,0.38666666666666666,0.6076692844252104,0.4379115963081504,0.5142857142857142,0.4,0.4000000000000001,0.14592981338500977,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,491.7227722772277,1049.5986985964134,0,5448,49664,247.12871287128712,1124.4099324998353,0,7680,24960
